user_id,skill_name,correct
user1,39,1
user2,39,1
user3,39,1
user4,39,1
user5,39,1
user6,39,1
user7,39,0
user8,39,1
user9,39,1
user10,39,1
user11,39,1
user12,39,1
user13,39,1
user14,39,1
user15,39,1
user16,39,1
user17,39,0
user18,39,1
user19,39,1
user20,39,1
user21,39,1
user22,39,1
user23,39,1
user24,39,1
user25,39,1
user26,39,1
user27,39,1
user28,39,0
user29,39,1
user30,39,1
user31,39,1
user32,39,0
user33,39,1
user34,39,1
user35,39,1
user36,39,1
user37,39,1
user38,39,1
user39,39,1
user40,39,1
user41,39,1
user42,39,0
user43,39,1
user44,39,1
user45,39,0
user46,39,1
user47,39,1
user48,39,1
user49,39,1
user50,39,0
user51,39,1
user52,39,1
user53,39,0
user54,39,1
user55,39,1
user56,39,1
user57,39,0
user58,39,1
user59,39,1
user60,39,1
user61,39,1
user62,39,1
user63,39,1
user64,39,1
user65,39,1
user66,39,1
user67,39,0
user68,39,1
user69,39,1
user70,39,0
user71,39,1
user72,39,1
user73,39,0
user74,39,1
user75,39,1
user76,39,1
user77,39,1
user78,39,1
user79,39,1
user80,39,1
user81,39,1
user82,39,0
user83,39,1
user84,39,1
user85,39,1
user86,39,1
user87,39,1
user88,39,1
user89,39,0
user90,39,1
user91,39,1
user92,39,1
user93,39,1
user94,39,1
user95,39,1
user96,39,1
user97,39,0
user98,39,1
user99,39,1
user100,39,1
user1,40,1
user2,40,1
user3,40,1
user4,40,1
user5,40,1
user6,40,0
user7,40,1
user8,40,1
user9,40,1
user10,40,1
user11,40,1
user12,40,1
user13,40,1
user14,40,1
user15,40,1
user16,40,1
user17,40,1
user18,40,1
user19,40,0
user20,40,0
user21,40,1
user22,40,1
user23,40,1
user24,40,1
user25,40,1
user26,40,0
user27,40,1
user28,40,1
user29,40,1
user30,40,1
user31,40,0
user32,40,1
user33,40,1
user34,40,1
user35,40,0
user36,40,1
user37,40,1
user38,40,1
user39,40,1
user40,40,1
user41,40,1
user42,40,0
user43,40,1
user44,40,1
user45,40,1
user46,40,1
user47,40,1
user48,40,1
user49,40,1
user50,40,1
user51,40,1
user52,40,1
user53,40,1
user54,40,0
user55,40,1
user56,40,1
user57,40,1
user58,40,1
user59,40,1
user60,40,1
user61,40,1
user62,40,0
user63,40,1
user64,40,1
user65,40,1
user66,40,1
user67,40,0
user68,40,1
user69,40,1
user70,40,1
user71,40,1
user72,40,1
user73,40,1
user74,40,1
user75,40,1
user76,40,1
user77,40,0
user78,40,1
user79,40,1
user80,40,1
user81,40,1
user82,40,1
user83,40,1
user84,40,1
user85,40,1
user86,40,1
user87,40,0
user88,40,1
user89,40,0
user90,40,1
user91,40,0
user92,40,1
user93,40,1
user94,40,0
user95,40,1
user96,40,1
user97,40,1
user98,40,1
user99,40,1
user100,40,1
user1,41,0
user2,41,0
user3,41,1
user4,41,1
user5,41,1
user6,41,1
user7,41,1
user8,41,1
user9,41,1
user10,41,1
user11,41,1
user12,41,1
user13,41,1
user14,41,1
user15,41,1
user16,41,1
user17,41,0
user18,41,1
user19,41,1
user20,41,1
user21,41,0
user22,41,1
user23,41,1
user24,41,1
user25,41,1
user26,41,1
user27,41,1
user28,41,1
user29,41,1
user30,41,0
user31,41,1
user32,41,1
user33,41,1
user34,41,1
user35,41,1
user36,41,1
user37,41,1
user38,41,1
user39,41,0
user40,41,1
user41,41,1
user42,41,1
user43,41,1
user44,41,1
user45,41,1
user46,41,1
user47,41,0
user48,41,1
user49,41,1
user50,41,1
user51,41,1
user52,41,1
user53,41,1
user54,41,1
user55,41,1
user56,41,1
user57,41,1
user58,41,1
user59,41,1
user60,41,1
user61,41,1
user62,41,0
user63,41,0
user64,41,1
user65,41,1
user66,41,1
user67,41,1
user68,41,1
user69,41,1
user70,41,1
user71,41,0
user72,41,1
user73,41,0
user74,41,1
user75,41,1
user76,41,1
user77,41,1
user78,41,1
user79,41,0
user80,41,1
user81,41,1
user82,41,1
user83,41,1
user84,41,1
user85,41,1
user86,41,1
user87,41,1
user88,41,0
user89,41,1
user90,41,0
user91,41,1
user92,41,1
user93,41,1
user94,41,1
user95,41,1
user96,41,0
user97,41,1
user98,41,1
user99,41,1
user100,41,1
user1,42,1
user2,42,1
user3,42,1
user4,42,1
user5,42,1
user6,42,1
user7,42,1
user8,42,1
user9,42,1
user10,42,1
user11,42,1
user12,42,1
user13,42,1
user14,42,1
user15,42,1
user16,42,0
user17,42,1
user18,42,1
user19,42,0
user20,42,1
user21,42,0
user22,42,1
user23,42,1
user24,42,1
user25,42,0
user26,42,1
user27,42,1
user28,42,1
user29,42,1
user30,42,1
user31,42,1
user32,42,1
user33,42,0
user34,42,1
user35,42,1
user36,42,1
user37,42,1
user38,42,1
user39,42,1
user40,42,1
user41,42,1
user42,42,1
user43,42,0
user44,42,0
user45,42,1
user46,42,1
user47,42,1
user48,42,1
user49,42,1
user50,42,1
user51,42,0
user52,42,1
user53,42,0
user54,42,1
user55,42,0
user56,42,1
user57,42,1
user58,42,1
user59,42,1
user60,42,1
user61,42,1
user62,42,1
user63,42,1
user64,42,1
user65,42,0
user66,42,1
user67,42,1
user68,42,1
user69,42,0
user70,42,1
user71,42,1
user72,42,0
user73,42,1
user74,42,1
user75,42,1
user76,42,1
user77,42,1
user78,42,0
user79,42,1
user80,42,1
user81,42,1
user82,42,1
user83,42,1
user84,42,1
user85,42,1
user86,42,1
user87,42,1
user88,42,1
user89,42,1
user90,42,1
user91,42,1
user92,42,0
user93,42,1
user94,42,1
user95,42,1
user96,42,1
user97,42,1
user98,42,1
user99,42,1
user100,42,1
user1,43,0
user2,43,1
user3,43,1
user4,43,1
user5,43,1
user6,43,1
user7,43,1
user8,43,1
user9,43,0
user10,43,1
user11,43,1
user12,43,1
user13,43,1
user14,43,1
user15,43,1
user16,43,0
user17,43,1
user18,43,1
user19,43,1
user20,43,1
user21,43,1
user22,43,1
user23,43,1
user24,43,1
user25,43,1
user26,43,1
user27,43,1
user28,43,1
user29,43,1
user30,43,1
user31,43,1
user32,43,1
user33,43,1
user34,43,1
user35,43,1
user36,43,0
user37,43,1
user38,43,1
user39,43,1
user40,43,1
user41,43,1
user42,43,0
user43,43,1
user44,43,0
user45,43,1
user46,43,0
user47,43,1
user48,43,0
user49,43,1
user50,43,1
user51,43,1
user52,43,1
user53,43,1
user54,43,1
user55,43,1
user56,43,1
user57,43,1
user58,43,1
user59,43,1
user60,43,1
user61,43,1
user62,43,1
user63,43,1
user64,43,1
user65,43,0
user66,43,1
user67,43,0
user68,43,1
user69,43,1
user70,43,1
user71,43,1
user72,43,1
user73,43,1
user74,43,1
user75,43,1
user76,43,0
user77,43,1
user78,43,1
user79,43,1
user80,43,1
user81,43,1
user82,43,1
user83,43,0
user84,43,0
user85,43,1
user86,43,1
user87,43,1
user88,43,0
user89,43,0
user90,43,1
user91,43,1
user92,43,1
user93,43,1
user94,43,1
user95,43,1
user96,43,1
user97,43,1
user98,43,1
user99,43,1
user100,43,1
user1,44,1
user2,44,0
user3,44,1
user4,44,1
user5,44,1
user6,44,0
user7,44,1
user8,44,0
user9,44,0
user10,44,1
user11,44,1
user12,44,1
user13,44,1
user14,44,1
user15,44,0
user16,44,1
user17,44,0
user18,44,1
user19,44,1
user20,44,0
user21,44,1
user22,44,1
user23,44,1
user24,44,0
user25,44,1
user26,44,1
user27,44,1
user28,44,1
user29,44,1
user30,44,1
user31,44,0
user32,44,1
user33,44,1
user34,44,1
user35,44,1
user36,44,1
user37,44,1
user38,44,1
user39,44,1
user40,44,1
user41,44,1
user42,44,1
user43,44,1
user44,44,1
user45,44,1
user46,44,1
user47,44,1
user48,44,1
user49,44,1
user50,44,1
user51,44,1
user52,44,1
user53,44,1
user54,44,1
user55,44,1
user56,44,1
user57,44,1
user58,44,0
user59,44,1
user60,44,1
user61,44,0
user62,44,1
user63,44,1
user64,44,1
user65,44,1
user66,44,1
user67,44,1
user68,44,1
user69,44,1
user70,44,1
user71,44,1
user72,44,1
user73,44,1
user74,44,1
user75,44,1
user76,44,0
user77,44,1
user78,44,1
user79,44,1
user80,44,1
user81,44,1
user82,44,1
user83,44,1
user84,44,1
user85,44,1
user86,44,1
user87,44,1
user88,44,0
user89,44,1
user90,44,0
user91,44,0
user92,44,1
user93,44,1
user94,44,1
user95,44,1
user96,44,1
user97,44,1
user98,44,1
user99,44,1
user100,44,1
user1,45,1
user2,45,1
user3,45,1
user4,45,1
user5,45,0
user6,45,1
user7,45,1
user8,45,1
user9,45,1
user10,45,1
user11,45,0
user12,45,1
user13,45,1
user14,45,1
user15,45,1
user16,45,1
user17,45,1
user18,45,1
user19,45,1
user20,45,0
user21,45,0
user22,45,1
user23,45,1
user24,45,1
user25,45,1
user26,45,1
user27,45,1
user28,45,1
user29,45,1
user30,45,1
user31,45,1
user32,45,0
user33,45,1
user34,45,1
user35,45,1
user36,45,1
user37,45,0
user38,45,1
user39,45,1
user40,45,1
user41,45,1
user42,45,1
user43,45,1
user44,45,1
user45,45,1
user46,45,1
user47,45,1
user48,45,1
user49,45,1
user50,45,1
user51,45,1
user52,45,1
user53,45,0
user54,45,1
user55,45,1
user56,45,1
user57,45,1
user58,45,1
user59,45,0
user60,45,1
user61,45,1
user62,45,1
user63,45,0
user64,45,1
user65,45,1
user66,45,1
user67,45,0
user68,45,1
user69,45,1
user70,45,1
user71,45,1
user72,45,0
user73,45,1
user74,45,1
user75,45,1
user76,45,1
